instance_id	source	token_budget	candidate_entities	selected_entities	rendered_context_tokens	budget_fill	mean_selected_source_tokens	truncated_entities	changed_lines_covered	changed_lines_total	complete_changed_lines
django__django-15741	MURAL	4000	50	23	3931	0.98275	111.95652173913044	2	0	1	0
django__django-15814	MURAL	4000	50	19	3975	0.99375	269.6842105263158	7	0	1	0
django__django-15851	MURAL	4000	50	19	3844	0.961	237.1578947368421	5	2	2	1
django__django-15863	MURAL	4000	50	25	3816	0.954	116.64	4	0	2	0
django__django-15916	MURAL	4000	50	15	3977	0.99425	337.2	8	10	13	0
django__django-15930	MURAL	4000	50	22	3985	0.99625	157.22727272727272	4	0	1	0
django__django-15957	MURAL	4000	50	19	3746	0.9365	201.1578947368421	2	0	11	0
django__django-15973	MURAL	4000	50	8	3684	0.921	309.0	4	0	2	0
django__django-15987	MURAL	4000	50	26	3998	0.9995	113.0	4	2	2	1
django__django-16032	MURAL	4000	50	17	3804	0.951	232.47058823529412	5	1	11	0
django__django-16082	MURAL	4000	50	20	3947	0.98675	119.9	2	0	1	0
django__django-16100	MURAL	4000	50	27	3898	0.9745	155.2962962962963	4	0	10	0
django__django-16116	MURAL	4000	50	15	3950	0.9875	370.8	7	3	5	0
django__django-16136	MURAL	4000	50	24	3931	0.98275	139.25	4	1	2	0
django__django-16139	MURAL	4000	50	26	3970	0.9925	76.26923076923077	2	0	2	0
django__django-16145	MURAL	4000	50	23	3898	0.9745	114.17391304347827	2	1	3	0
django__django-16255	MURAL	4000	50	31	3889	0.97225	73.06451612903226	2	2	2	1
django__django-16256	MURAL	4000	50	19	3880	0.97	483.7368421052632	5	7	11	0
django__django-16263	MURAL	4000	50	20	3807	0.95175	214.5	5	0	44	0
django__django-16315	MURAL	4000	50	15	3955	0.98875	300.46666666666664	7	3	10	0
django__django-16333	MURAL	4000	50	17	3842	0.9605	255.58823529411765	7	1	1	1
django__django-16429	MURAL	4000	50	20	3929	0.98225	146.9	3	0	1	0
django__django-16454	MURAL	4000	50	13	3803	0.95075	553.4615384615385	7	0	2	0
django__django-16485	MURAL	4000	50	31	3971	0.99275	84.29032258064517	1	0	2	0
django__django-16493	MURAL	4000	50	23	3754	0.9385	136.2608695652174	4	3	3	1
django__django-16502	MURAL	4000	50	18	3952	0.988	196.61111111111111	4	0	5	0
django__django-16527	MURAL	4000	50	26	3937	0.98425	110.15384615384616	2	0	2	0
django__django-16560	MURAL	4000	50	25	3753	0.93825	127.44	4	11	40	0
django__django-16569	MURAL	4000	50	22	3990	0.9975	153.0909090909091	6	2	2	1
django__django-16595	MURAL	4000	50	26	3947	0.98675	108.6923076923077	2	4	4	1
django__django-16612	MURAL	4000	50	24	3807	0.95175	144.33333333333334	6	2	2	1
django__django-16631	MURAL	4000	50	38	3943	0.98575	36.973684210526315	0	0	10	0
django__django-16642	MURAL	4000	50	21	3950	0.9875	183.47619047619048	6	0	2	0
django__django-16661	MURAL	4000	50	22	3860	0.965	130.13636363636363	3	5	5	1
django__django-16662	MURAL	4000	50	18	3976	0.994	205.77777777777777	4	0	2	0
django__django-16667	MURAL	4000	50	35	3953	0.98825	54.542857142857144	2	1	1	1
django__django-16801	MURAL	4000	50	24	3952	0.988	165.54166666666666	5	3	7	0
django__django-16819	MURAL	4000	50	29	3857	0.96425	89.13793103448276	1	0	1	0
django__django-16877	MURAL	4000	50	29	3974	0.9935	99.72413793103448	3	0	1	0
django__django-16899	MURAL	4000	50	17	3811	0.95275	181.0	3	4	4	1
django__django-16901	MURAL	4000	50	18	3715	0.92875	294.5	5	0	4	0
django__django-16938	MURAL	4000	50	14	3930	0.9825	669.1428571428571	6	0	4	0
django__django-16950	MURAL	4000	50	19	3865	0.96625	165.47368421052633	3	0	2	0
django__django-17029	MURAL	4000	50	20	3833	0.95825	152.75	3	1	1	1
django__django-17084	MURAL	4000	50	27	3885	0.97125	137.62962962962962	3	0	3	0
django__django-17087	MURAL	4000	50	25	3931	0.98275	75.04	1	0	2	0
django__django-7530	MURAL	4000	50	20	4000	1.0	250.05	6	0	2	0
django__django-9296	MURAL	4000	50	30	3987	0.99675	78.2	1	1	1	1
matplotlib__matplotlib-13989	MURAL	4000	50	11	3759	0.93975	1558.2727272727273	7	0	2	0
matplotlib__matplotlib-14623	MURAL	4000	50	16	3898	0.9745	711.0	8	0	13	0
matplotlib__matplotlib-20488	MURAL	4000	50	21	3951	0.98775	208.33333333333334	6	0	4	0
matplotlib__matplotlib-20676	MURAL	4000	50	22	3892	0.973	193.8181818181818	5	2	2	1
matplotlib__matplotlib-20826	MURAL	4000	50	19	3949	0.98725	212.21052631578948	7	0	3	0
